Ids,Team 1,Team 2,Winner,Margin,Venue,Date,match_no,match_url,Team_1 P1,Team_1 P2,Team_1 P3,Team_1 P4,Team_1 P5,Team_1 P6,Team_1 P7,Team_1 P8,Team_1 P9,Team_1 P10,Team_1 P11,Team_2 P1,Team_2 P2,Team_2 P3,Team_2 P4,Team_2 P5,Team_2 P6,Team_2 P7,Team_2 P8,Team_2 P9,Team_2 P10,Team_2 P11,Captain 1,Captain 2,Toss,Bat_first
0,Bangladesh,India,India,6 wickets,Dhaka,"Jan 7, 2010",ODI # 2939,https://www.espncricinfo.com/India/engine/match/434260.html,Tamim Iqbal,Imrul Kayes,Mohammad Ashraful,Shakib Al Hasan (c),Raqibul Hasan,Mushfiqur Rahim †,Mahmudullah,Naeem Islam,Abdur Razzak ,Rubel Hossain ,Syed Rasel,G Gambhir,V Sehwag,V Kohli,Yuvraj Singh,MS Dhoni (c) †,SK Raina,RA Jadeja ,Harbhajan Singh ,Z Khan ,A Nehra ,S Sreesanth,Shakib Al Hasan ,MS Dhoni  †,Bangladesh,Bangladesh
1,India,Sri Lanka,India,8 wickets,Dhaka,"Jan 10, 2010",ODI # 2941,https://www.espncricinfo.com/India/engine/match/434262.html,WU Tharanga,TM Dilshan,KC Sangakkara (c) †,DPMD Jayawardene,TT Samaraweera,SHT Kandamby,NLTC Perera,S Randiv,T Thushara,UWMBCA Welegedara,RAS Lakmal,KD Karthik,G Gambhir,V Kohli,Yuvraj Singh,MS Dhoni (c) † ,SK Raina ,A Mishra ,RA Jadeja ,Z Khan ,S Sreesanth ,S Tyagi,KC Sangakkara  †,MS Dhoni  † ,Sri Lanka,Sri Lanka
2,Bangladesh,India,India,6 wickets,Dhaka,"Jan 11, 2010",ODI # 2942,https://www.espncricinfo.com/India/engine/match/434263.html,Tamim Iqbal,Imrul Kayes,Mohammad Ashraful,Raqibul Hasan,Shakib Al Hasan (c),Mushfiqur Rahim †,Mahmudullah,Naeem Islam,Abdur Razzak ,Syed Rasel ,Shafiul Islam,KD Karthik,G Gambhir,V Kohli,Yuvraj Singh,MS Dhoni (c) †,SK Raina,A Mishra ,RA Jadeja ,S Sreesanth ,S Tyagi ,A Nehra,Shakib Al Hasan ,MS Dhoni  †,India,Bangladesh
3,India,South Africa,India,1 run,Jaipur,"Feb 21, 2010",ODI # 2961,https://www.espncricinfo.com/India/engine/match/441827.html,V Sehwag,SR Tendulkar,KD Karthik,MS Dhoni (c) †,V Kohli,SK Raina,YK Pathan,RA Jadeja,P Kumar,A Nehra,S Sreesanth,LE Bosman,HH Gibbs,JH Kallis (c),AB de Villiers,AN Petersen,JA Morkel,MV Boucher †,J Botha,WD Parnell,DW Steyn,CK Langeveldt,MS Dhoni  †,JH Kallis ,South Africa,India
4,India,South Africa,India,153 runs,Gwalior,"Feb 24, 2010",ODI # 2962,https://www.espncricinfo.com/India/engine/match/441828.html,V Sehwag,SR Tendulkar,KD Karthik,YK Pathan,MS Dhoni (c) †,V Kohli ,SK Raina ,RA Jadeja ,P Kumar ,A Nehra ,S Sreesanth,HM Amla,HH Gibbs,RE van der Merwe,JH Kallis (c),AB de Villiers,AN Petersen,JP Duminy,MV Boucher †,WD Parnell,DW Steyn,CK Langeveldt,MS Dhoni  †,JH Kallis ,India,India
5,India,Sri Lanka,India,7 wickets,Bulawayo,"May 30, 2010",ODI # 2983,https://www.espncricinfo.com/India/engine/match/452147.html,WU Tharanga,TM Dilshan (c) †,TT Samaraweera,AD Mathews,CK Kapugedera,LPC Silva,NLTC Perera,KMDN Kulasekara,S Randiv,CRD Fernando,BAW Mendis,KD Karthik †,M Vijay,V Kohli,RG Sharma,SK Raina (c),YK Pathan ,RA Jadeja ,A Mishra ,AB Dinda ,PP Ojha ,UT Yadav,TM Dilshan  †,SK Raina ,India,Sri Lanka
6,Bangladesh,India,India,6 wickets,Dambulla,"Jun 16, 2010",ODI # 2993,https://www.espncricinfo.com/India/engine/match/455232.html,Tamim Iqbal,Imrul Kayes,Mohammad Ashraful,Mushfiqur Rahim †,Shakib Al Hasan (c),Mahmudullah,Naeem Islam,Sohrawordi Shuvo,Mashrafe Mortaza,Shafiul Islam,Syed Rasel,G Gambhir,V Sehwag,V Kohli,RG Sharma,MS Dhoni (c) †,SK Raina,RA Jadeja ,Harbhajan Singh ,P Kumar ,Z Khan ,A Nehra,Shakib Al Hasan ,MS Dhoni  †,Bangladesh,Bangladesh
7,India,Pakistan,India,3 wickets,Dambulla,"Jun 19, 2010",ODI # 2996,https://www.espncricinfo.com/India/engine/match/455234.html,Salman Butt,Imran Farhat,Shoaib Malik,Umar Akmal,Umar Amin,Shahid Afridi (c),Kamran Akmal †,Abdul Razzaq,Mohammad Amir,Shoaib Akhtar,Saeed Ajmal,G Gambhir,V Sehwag,V Kohli,MS Dhoni (c) †,RG Sharma,SK Raina,RA Jadeja,Harbhajan Singh,P Kumar,Z Khan ,A Nehra,Shahid Afridi ,MS Dhoni  †,Pakistan,Pakistan
8,Sri Lanka,India,India,81 runs,Dambulla,"Jun 24, 2010",ODI # 3001,https://www.espncricinfo.com/India/engine/match/455237.html,G Gambhir,KD Karthik,V Kohli,MS Dhoni (c) †,RG Sharma,SK Raina,RA Jadeja,Harbhajan Singh,P Kumar ,Z Khan ,A Nehra,WU Tharanga,TM Dilshan,KC Sangakkara (c) †,DPMD Jayawardene,AD Mathews,SHT Kandamby,CK Kapugedera,MF Maharoof,KMDN Kulasekara,SL Malinga,M Muralitharan,MS Dhoni  †,KC Sangakkara  †,India,India
9,Sri Lanka,India,India,6 wickets,Dambulla,"Aug 16, 2010",ODI # 3032,https://www.espncricinfo.com/India/engine/match/456663.html,WU Tharanga,TM Dilshan,KC Sangakkara (c) †,DPMD Jayawardene,TT Samaraweera,AD Mathews,CK Kapugedera,S Randiv,KMDN Kulasekara,SL Malinga,CRD Fernando,KD Karthik,V Sehwag,V Kohli,RG Sharma,SK Raina,MS Dhoni (c) †,RA Jadeja ,P Kumar ,I Sharma ,A Nehra ,PP Ojha,KC Sangakkara  †,MS Dhoni  †,Sri Lanka,Sri Lanka
10,India,New Zealand,India,105 runs,Dambulla,"Aug 25, 2010",ODI # 3039,https://www.espncricinfo.com/India/engine/match/456665.html,KD Karthik,V Sehwag,V Kohli,Yuvraj Singh,SK Raina,MS Dhoni (c) †,RA Jadeja,P Kumar,A Nehra,I Sharma,MM Patel,BJ Watling,MJ Guptill,LRPL Taylor (c),GD Elliott,SB Styris,KS Williamson,GJ Hopkins †,NL McCullum,KD Mills,TG Southee,AJ McKay,MS Dhoni  †,LRPL Taylor ,India,India
11,India,Australia,India,5 wickets,Visakhapatnam,"Oct 20, 2010",ODI # 3060,https://www.espncricinfo.com/India/engine/match/464529.html,SE Marsh,TD Paine †,MJ Clarke (c),MEK Hussey,CL White,SPD Smith ,JR Hopes ,JW Hastings ,NM Hauritz ,MA Starc ,CJ McKay,S Dhawan,M Vijay,V Kohli,Yuvraj Singh,SK Raina,MS Dhoni (c) †,SS Tiwary,R Ashwin ,P Kumar ,R Vinay Kumar ,A Nehra,MJ Clarke ,MS Dhoni  †,India,Australia
12,India,New Zealand,India,40 runs,Guwahati,"Nov 28, 2010",ODI # 3070,https://www.espncricinfo.com/India/engine/match/467883.html,M Vijay,G Gambhir (c),V Kohli,Yuvraj Singh,SK Raina,YK Pathan,WP Saha †,R Ashwin,A Nehra,S Sreesanth,MM Patel,MJ Guptill,JM How,KS Williamson,LRPL Taylor (c),SB Styris,GD Elliott,DR Tuffey,GJ Hopkins †,NL McCullum,KD Mills,AJ McKay,G Gambhir ,LRPL Taylor ,New Zealand,India
13,India,New Zealand,India,8 wickets,Jaipur,"Dec 1, 2010",ODI # 3072,https://www.espncricinfo.com/India/engine/match/467884.html,MJ Guptill,JM How,KS Williamson,LRPL Taylor,SB Styris,DL Vettori (c),GJ Hopkins †,NL McCullum,KD Mills,TG Southee,AJ McKay,M Vijay,G Gambhir (c),V Kohli,Yuvraj Singh,SK Raina ,YK Pathan ,WP Saha † ,R Ashwin ,A Nehra ,S Sreesanth ,MM Patel,DL Vettori ,G Gambhir ,India,New Zealand
14,India,New Zealand,India,9 wickets,Vadodara,"Dec 4, 2010",ODI # 3074,https://www.espncricinfo.com/India/engine/match/467885.html,MJ Guptill,BB McCullum,KS Williamson,LRPL Taylor,SB Styris,JEC Franklin,DL Vettori (c),GJ Hopkins †,NL McCullum,KD Mills,AJ McKay,M Vijay,G Gambhir (c),V Kohli,Yuvraj Singh ,YK Pathan ,RA Jadeja ,WP Saha † ,R Ashwin ,A Nehra ,MM Patel ,Z Khan,DL Vettori ,G Gambhir ,India,New Zealand
15,India,New Zealand,India,5 wickets,Bengaluru,"Dec 7, 2010",ODI # 3076,https://www.espncricinfo.com/India/engine/match/467886.html,MJ Guptill,BB McCullum †,JM How,LRPL Taylor,SB Styris,JEC Franklin,DL Vettori (c),KD Mills,NL McCullum,TG Southee ,AJ McKay,G Gambhir (c),PA Patel †,V Kohli,Yuvraj Singh,RG Sharma,YK Pathan,SS Tiwary,R Ashwin ,P Kumar ,Z Khan ,A Nehra,DL Vettori ,G Gambhir ,India,New Zealand
16,India,New Zealand,India,8 wickets,Chennai,"Dec 10, 2010",ODI # 3077,https://www.espncricinfo.com/India/engine/match/467887.html,MJ Guptill,BB McCullum †,JM How,LRPL Taylor,SB Styris,JEC Franklin,GD Elliott,DL Vettori (c),NL McCullum,KD Mills,TG Southee,G Gambhir (c),PA Patel †,V Kohli,Yuvraj Singh,RG Sharma ,YK Pathan ,SS Tiwary ,R Ashwin ,P Kumar ,A Nehra ,MM Patel,DL Vettori ,G Gambhir ,New Zealand,New Zealand
17,South Africa,India,India,1 run,Johannesburg,"Jan 15, 2011",ODI # 3080,https://www.espncricinfo.com/India/engine/match/463151.html,M Vijay,SR Tendulkar,V Kohli,Yuvraj Singh,MS Dhoni (c) †,SK Raina,RG Sharma,Harbhajan Singh,Z Khan,A Nehra,MM Patel,HM Amla,GC Smith (c),CA Ingram,AB de Villiers †,JP Duminy,DA Miller,J Botha,WD Parnell,DW Steyn,M Morkel,LL Tsotsobe,MS Dhoni  †,GC Smith ,India,India
18,South Africa,India,India,2 wickets,Cape Town,"Jan 18, 2011",ODI # 3082,https://www.espncricinfo.com/India/engine/match/463152.html,GC Smith (c),HM Amla,CA Ingram,AB de Villiers †,JP Duminy,F du Plessis,J Botha,WD Parnell,DW Steyn,M Morkel,LL Tsotsobe,RG Sharma,M Vijay,V Kohli,Yuvraj Singh,MS Dhoni (c) †,SK Raina,YK Pathan,Harbhajan Singh,Z Khan,A Nehra,MM Patel,GC Smith ,MS Dhoni  †,South Africa,South Africa
19,Bangladesh,India,India,87 runs,Dhaka,"Feb 19, 2011",ODI # 3100,https://www.espncricinfo.com/India/engine/match/433558.html,V Sehwag,SR Tendulkar,G Gambhir,V Kohli,YK Pathan,Yuvraj Singh ,MS Dhoni (c) † ,Harbhajan Singh ,Z Khan ,S Sreesanth ,MM Patel,Tamim Iqbal,Imrul Kayes,Junaid Siddique,Shakib Al Hasan (c),Mushfiqur Rahim †,Raqibul Hasan,Mahmudullah,Naeem Islam,Abdur Razzak,Shafiul Islam,Rubel Hossain,MS Dhoni  † ,Shakib Al Hasan ,Bangladesh,India
20,India,Ireland,India,5 wickets,Bengaluru,"Mar 6, 2011",ODI # 3121,https://www.espncricinfo.com/India/engine/match/433578.html,WTS Porterfield (c),PR Stirling,EC Joyce,NJ O'Brien †,AR White,KJ O'Brien,AR Cusack,JF Mooney,DT Johnston,GH Dockrell,WB Rankin,V Sehwag,SR Tendulkar,G Gambhir,V Kohli,Yuvraj Singh,MS Dhoni (c) †,YK Pathan,Harbhajan Singh ,PP Chawla ,Z Khan ,MM Patel,WTS Porterfield ,MS Dhoni  †,India,Ireland
21,India,Netherlands,India,5 wickets,Delhi,"Mar 9, 2011",ODI # 3124,https://www.espncricinfo.com/India/engine/match/433582.html,ES Szwarczynski,W Barresi †,TLW Cooper,RN ten Doeschate,AN Kervezee,B Zuiderent,TN de Grooth,PW Borren (c),BP Kruger,Mudassar Bukhari,PM Seelaar,V Sehwag,SR Tendulkar,YK Pathan,G Gambhir,V Kohli,Yuvraj Singh,MS Dhoni (c) †,Harbhajan Singh ,PP Chawla ,Z Khan ,A Nehra,PW Borren ,MS Dhoni  †,Netherlands,Netherlands
22,India,West Indies,India,80 runs,Chennai,"Mar 20, 2011",ODI # 3141,https://www.espncricinfo.com/India/engine/match/433599.html,G Gambhir,SR Tendulkar,V Kohli,Yuvraj Singh,MS Dhoni (c) †,SK Raina,YK Pathan,Harbhajan Singh,R Ashwin,Z Khan,MM Patel,DS Smith,KA Edwards,DM Bravo,RR Sarwan,KA Pollard,DC Thomas †,DJG Sammy (c),AD Russell,SJ Benn,D Bishoo,R Rampaul,MS Dhoni  †,DJG Sammy ,India,India
23,India,Australia,India,5 wickets,Ahmedabad,"Mar 24, 2011",ODI # 3143,https://www.espncricinfo.com/India/engine/match/433601.html,SR Watson,BJ Haddin †,RT Ponting (c),MJ Clarke,MEK Hussey,CL White,DJ Hussey,MG Johnson,B Lee ,JJ Krejza ,SW Tait,V Sehwag,SR Tendulkar,G Gambhir,V Kohli,Yuvraj Singh,MS Dhoni (c) †,SK Raina,R Ashwin ,Harbhajan Singh ,Z Khan ,MM Patel,RT Ponting ,MS Dhoni  †,Australia,Australia
24,India,Pakistan,India,29 runs,Mohali,"Mar 30, 2011",ODI # 3147,https://www.espncricinfo.com/India/engine/match/433605.html,V Sehwag,SR Tendulkar,G Gambhir,V Kohli,Yuvraj Singh,MS Dhoni (c) †,SK Raina,Harbhajan Singh,Z Khan,A Nehra,MM Patel,Kamran Akmal †,Mohammad Hafeez,Asad Shafiq,Younis Khan,Misbah-ul-Haq,Umar Akmal,Abdul Razzaq,Shahid Afridi (c),Wahab Riaz,Umar Gul,Saeed Ajmal,MS Dhoni  †,Shahid Afridi ,India,India
25,India,Sri Lanka,India,6 wickets,Mumbai,"Apr 2, 2011",ODI # 3148,https://www.espncricinfo.com/India/engine/match/433606.html,WU Tharanga,TM Dilshan,KC Sangakkara (c) †,DPMD Jayawardene,TT Samaraweera,CK Kapugedera,KMDN Kulasekara,NLTC Perera,SL Malinga ,S Randiv ,M Muralitharan,V Sehwag,SR Tendulkar,G Gambhir,V Kohli,MS Dhoni (c) †,Yuvraj Singh,SK Raina ,Harbhajan Singh ,Z Khan ,MM Patel ,S Sreesanth,KC Sangakkara  †,MS Dhoni  †,Sri Lanka,Sri Lanka
26,West Indies,India,India,4 wickets,Port of Spain,"Jun 6, 2011",ODI # 3159,https://www.espncricinfo.com/India/engine/match/489221.html,LMP Simmons,KA Edwards,DM Bravo,RR Sarwan,MN Samuels,DJ Bravo,CS Baugh †,DJG Sammy (c),R Rampaul,D Bishoo,A Martin,PA Patel †,S Dhawan,V Kohli,S Badrinath,RG Sharma,SK Raina (c),YK Pathan,Harbhajan Singh,P Kumar ,MM Patel ,A Mishra,DJG Sammy ,SK Raina ,West Indies,West Indies
27,West Indies,India,India,7 wickets,Port of Spain,"Jun 8, 2011",ODI # 3160,https://www.espncricinfo.com/India/engine/match/489222.html,LMP Simmons,KA Edwards,RR Sarwan,MN Samuels,DJ Bravo,KA Pollard,CS Baugh †,DJG Sammy (c),R Rampaul,D Bishoo,A Martin,PA Patel †,S Dhawan,V Kohli,SK Raina (c),RG Sharma,S Badrinath ,YK Pathan ,P Kumar ,Harbhajan Singh ,MM Patel ,A Mishra,DJG Sammy ,SK Raina ,India,West Indies
28,West Indies,India,India,3 wickets,North Sound,"Jun 11, 2011",ODI # 3161,https://www.espncricinfo.com/India/engine/match/489223.html,LMP Simmons,KA Edwards,RR Sarwan,MN Samuels,DP Hyatt,KA Pollard,CS Baugh †,DJG Sammy (c),AD Russell,KAJ Roach,D Bishoo,PA Patel †,S Dhawan,V Kohli,S Badrinath,RG Sharma,SK Raina (c),YK Pathan,Harbhajan Singh,P Kumar,MM Patel ,A Mishra,DJG Sammy ,SK Raina ,India,West Indies
29,India,England,India,126 runs,Hyderabad (Deccan),"Oct 14, 2011",ODI # 3199,https://www.espncricinfo.com/India/engine/match/521218.html,PA Patel,AM Rahane,G Gambhir,V Kohli,SK Raina,MS Dhoni (c) †,RA Jadeja,R Ashwin,P Kumar,R Vinay Kumar ,UT Yadav,AN Cook (c),C Kieswetter †,KP Pietersen,IJL Trott,RS Bopara,JM Bairstow,SR Patel,TT Bresnan,GP Swann,ST Finn,JW Dernbach,MS Dhoni  †,AN Cook ,India,India
30,India,England,India,8 wickets,Delhi,"Oct 17, 2011",ODI # 3201,https://www.espncricinfo.com/India/engine/match/521219.html,AN Cook (c),C Kieswetter †,IJL Trott,KP Pietersen,RS Bopara,JM Bairstow,SR Patel,TT Bresnan,GP Swann,ST Finn,JW Dernbach,PA Patel,AM Rahane,G Gambhir,V Kohli,SK Raina ,MS Dhoni (c) † ,RA Jadeja ,R Ashwin ,R Vinay Kumar ,UT Yadav ,P Kumar,AN Cook ,MS Dhoni  † ,England,England
31,India,England,India,5 wickets,Mohali,"Oct 20, 2011",ODI # 3205,https://www.espncricinfo.com/India/engine/match/521220.html,AN Cook (c),C Kieswetter †,IJL Trott,KP Pietersen,RS Bopara,SR Patel,JM Bairstow ,TT Bresnan ,GP Swann ,ST Finn ,JW Dernbach,PA Patel,AM Rahane,G Gambhir,V Kohli,SK Raina,MS Dhoni (c) †,RA Jadeja,R Ashwin ,R Vinay Kumar ,UT Yadav ,P Kumar,AN Cook ,MS Dhoni  †,England,England
32,India,England,India,6 wickets,Mumbai,"Oct 23, 2011",ODI # 3207,https://www.espncricinfo.com/India/engine/match/521221.html,AN Cook (c),C Kieswetter †,IJL Trott,KP Pietersen,RS Bopara,JM Bairstow,SR Patel,TT Bresnan,SG Borthwick,SC Meaker,ST Finn,PA Patel,AM Rahane,G Gambhir,V Kohli,SK Raina,MS Dhoni (c) †,RA Jadeja ,R Ashwin ,R Vinay Kumar ,P Kumar ,VR Aaron,AN Cook ,MS Dhoni  †,England,England
33,India,England,India,95 runs,Kolkata,"Oct 25, 2011",ODI # 3210,https://www.espncricinfo.com/India/engine/match/521222.html,AM Rahane,G Gambhir,V Kohli,MK Tiwary,SK Raina,MS Dhoni (c) †,RA Jadeja,R Ashwin,P Kumar,R Vinay Kumar,VR Aaron,C Kieswetter †,AN Cook (c),IJL Trott,IR Bell,RS Bopara,JM Bairstow,SR Patel,TT Bresnan,GP Swann,SC Meaker,ST Finn,MS Dhoni  †,AN Cook ,England,India
34,India,West Indies,India,1 wicket,Cuttack,"Nov 29, 2011",ODI # 3217,https://www.espncricinfo.com/India/engine/match/536929.html,LMP Simmons,AB Barath,MN Samuels,DM Bravo,DP Hyatt,KA Pollard,D Ramdin †,DJG Sammy (c),AD Russell,KAJ Roach,A Martin,PA Patel †,V Sehwag (c),G Gambhir,V Kohli,RG Sharma,SK Raina,RA Jadeja,R Ashwin,R Vinay Kumar,VR Aaron,UT Yadav,DJG Sammy ,V Sehwag ,India,West Indies
35,India,West Indies,India,5 wickets,Visakhapatnam,"Dec 2, 2011",ODI # 3219,https://www.espncricinfo.com/India/engine/match/536930.html,LMP Simmons,AB Barath,MN Samuels,DM Bravo,DP Hyatt,D Ramdin †,KA Pollard,DJG Sammy (c),AD Russell,R Rampaul,KAJ Roach,PA Patel †,V Sehwag (c),G Gambhir,V Kohli,RG Sharma,SK Raina,RA Jadeja,R Ashwin ,R Vinay Kumar ,VR Aaron ,UT Yadav,DJG Sammy ,V Sehwag ,India,West Indies
36,India,West Indies,India,153 runs,Indore,"Dec 8, 2011",ODI # 3223,https://www.espncricinfo.com/India/engine/match/536932.html,G Gambhir,V Sehwag (c),SK Raina,RA Jadeja,RG Sharma,V Kohli,PA Patel †,R Ashwin ,R Vinay Kumar ,A Mithun ,R Sharma,LMP Simmons,KOA Powell,MN Samuels,DP Hyatt,D Ramdin †,KA Pollard,AD Russell,DJG Sammy (c),R Rampaul,KAJ Roach,SP Narine,V Sehwag ,DJG Sammy ,India,India
37,India,West Indies,India,34 runs,Chennai,"Dec 11, 2011",ODI # 3224,https://www.espncricinfo.com/India/engine/match/536933.html,G Gambhir (c),AM Rahane,PA Patel †,MK Tiwary,V Kohli,RG Sharma,SK Raina,IK Pathan,RA Jadeja ,A Mithun ,R Sharma,LMP Simmons,KOA Powell,MN Samuels,JN Mohammed,D Ramdin †,KA Pollard,AD Russell,DJG Sammy (c),SP Narine,KAJ Roach,A Martin,G Gambhir ,DJG Sammy ,India,India
38,India,Sri Lanka,India,4 wickets,Perth,"Feb 8, 2012",ODI # 3233,https://www.espncricinfo.com/India/engine/match/518957.html,WU Tharanga,TM Dilshan,KC Sangakkara †,LD Chandimal,DPMD Jayawardene (c),NLTC Perera,AD Mathews,HDRL Thirimanne,KMDN Kulasekara,SL Malinga,KTGD Prasad,V Sehwag,SR Tendulkar,V Kohli,RG Sharma,SK Raina,MS Dhoni (c) †,RA Jadeja,R Ashwin,R Vinay Kumar ,P Kumar ,Z Khan,DPMD Jayawardene ,MS Dhoni  †,Sri Lanka,Sri Lanka
39,Australia,India,India,4 wickets,Adelaide,"Feb 12, 2012",ODI # 3237,https://www.espncricinfo.com/India/engine/match/518959.html,DA Warner,RT Ponting,MJ Clarke (c),PJ Forrest,DJ Hussey,DT Christian,MS Wade †,RJ Harris,CJ McKay,MA Starc ,XJ Doherty,G Gambhir,V Sehwag,V Kohli,RG Sharma,SK Raina,MS Dhoni (c) †,RA Jadeja,R Ashwin,R Vinay Kumar ,Z Khan ,UT Yadav,MJ Clarke ,MS Dhoni  †,Australia,Australia
40,India,Sri Lanka,India,7 wickets,Hobart,"Feb 28, 2012",ODI # 3251,https://www.espncricinfo.com/India/engine/match/518966.html,DPMD Jayawardene (c),TM Dilshan,KC Sangakkara †,NLTC Perera,AD Mathews,LD Chandimal,HDRL Thirimanne ,MF Maharoof ,KMDN Kulasekara ,SL Malinga ,HMRKB Herath,V Sehwag,SR Tendulkar,G Gambhir,V Kohli,SK Raina,MS Dhoni (c) † ,RA Jadeja ,R Ashwin ,P Kumar ,Z Khan ,UT Yadav,DPMD Jayawardene ,MS Dhoni  † ,India,Sri Lanka
41,India,Sri Lanka,India,50 runs,Dhaka,"Mar 13, 2012",ODI # 3259,https://www.espncricinfo.com/India/engine/match/535795.html,G Gambhir,SR Tendulkar,V Kohli,MS Dhoni (c) †,SK Raina,RG Sharma ,RA Jadeja ,IK Pathan ,R Ashwin ,P Kumar ,R Vinay Kumar,DPMD Jayawardene (c),TM Dilshan,KC Sangakkara †,LD Chandimal,HDRL Thirimanne,KMDN Kulasekara,WU Tharanga,CK Kapugedera,MF Maharoof,S Prasanna,RAS Lakmal,MS Dhoni  †,DPMD Jayawardene ,Sri Lanka,India
42,India,Pakistan,India,6 wickets,Dhaka,"Mar 18, 2012",ODI # 3263,https://www.espncricinfo.com/India/engine/match/535798.html,Mohammad Hafeez,Nasir Jamshed,Umar Akmal †,Younis Khan,Shahid Afridi,Hammad Azam,Misbah-ul-Haq (c),Umar Gul,Saeed Ajmal ,Aizaz Cheema ,Wahab Riaz,G Gambhir,SR Tendulkar,V Kohli,RG Sharma,SK Raina,MS Dhoni (c) †,YK Pathan ,IK Pathan ,R Ashwin ,P Kumar ,AB Dinda,Misbah-ul-Haq ,MS Dhoni  †,Pakistan,Pakistan
43,Sri Lanka,India,India,21 runs,Hambantota,"Jul 21, 2012",ODI # 3291,https://www.espncricinfo.com/India/engine/match/564781.html,G Gambhir,V Sehwag,V Kohli,RG Sharma,SK Raina,MS Dhoni (c) †,IK Pathan,R Ashwin,Z Khan ,UT Yadav ,PP Ojha,WU Tharanga,TM Dilshan,KC Sangakkara †,LD Chandimal,DPMD Jayawardene (c),AD Mathews,HDRL Thirimanne,NLTC Perera,HMRKB Herath,SL Malinga,KMDN Kulasekara,MS Dhoni  †,DPMD Jayawardene ,India,India
44,Sri Lanka,India,India,5 wickets,Colombo (RPS),"Jul 28, 2012",ODI # 3293,https://www.espncricinfo.com/India/engine/match/564783.html,WU Tharanga,TM Dilshan,KC Sangakkara †,LD Chandimal,DPMD Jayawardene (c),AD Mathews,BMAJ Mendis,NLTC Perera ,HMRKB Herath ,I Udana ,SL Malinga,G Gambhir,V Sehwag,V Kohli,MS Dhoni (c) †,RG Sharma,SK Raina,IK Pathan,R Ashwin ,Z Khan ,R Sharma ,AB Dinda,DPMD Jayawardene ,MS Dhoni  †,Sri Lanka,Sri Lanka
45,Sri Lanka,India,India,6 wickets,Colombo (RPS),"Jul 31, 2012",ODI # 3294,https://www.espncricinfo.com/India/engine/match/564784.html,WU Tharanga,TM Dilshan,HDRL Thirimanne,LD Chandimal †,DPMD Jayawardene (c),AD Mathews,BMAJ Mendis,NLTC Perera,HMRKB Herath,SL Malinga,N Pradeep,G Gambhir,V Sehwag,V Kohli,RG Sharma,MK Tiwary,SK Raina,MS Dhoni (c) † ,IK Pathan ,R Ashwin ,Z Khan ,AB Dinda,DPMD Jayawardene ,MS Dhoni  † ,Sri Lanka,Sri Lanka
46,Sri Lanka,India,India,20 runs,Pallekele,"Aug 4, 2012",ODI # 3295,https://www.espncricinfo.com/India/engine/match/564785.html,G Gambhir,AM Rahane,V Kohli,RG Sharma,MK Tiwary,SK Raina,MS Dhoni (c) †,IK Pathan,R Ashwin,Z Khan ,AB Dinda,WU Tharanga,TM Dilshan,HDRL Thirimanne,LD Chandimal †,AD Mathews (c),CK Kapugedera,BMAJ Mendis,NLTC Perera,SMSM Senanayake,SL Malinga,N Pradeep,MS Dhoni  †,AD Mathews ,India,India
47,India,Pakistan,India,10 runs,Delhi,"Jan 6, 2013",ODI # 3316,https://www.espncricinfo.com/India/engine/match/589310.html,G Gambhir,AM Rahane,V Kohli,Yuvraj Singh,SK Raina,MS Dhoni (c) †,R Ashwin,RA Jadeja,B Kumar,I Sharma,Mohammed Shami,Nasir Jamshed,Kamran Akmal †,Younis Khan,Misbah-ul-Haq (c),Umar Akmal,Shoaib Malik,Mohammad Hafeez,Umar Gul,Saeed Ajmal,Junaid Khan,Mohammad Irfan,MS Dhoni  †,Misbah-ul-Haq ,India,India
48,India,England,India,127 runs,Kochi,"Jan 15, 2013",ODI # 3320,https://www.espncricinfo.com/India/engine/match/565813.html,AM Rahane,G Gambhir,V Kohli,Yuvraj Singh,SK Raina,MS Dhoni (c) †,RA Jadeja,R Ashwin,B Kumar ,I Sharma ,Mohammed Shami,AN Cook (c),IR Bell,KP Pietersen,JE Root,EJG Morgan,C Kieswetter †,SR Patel,CR Woakes,JC Tredwell,ST Finn,JW Dernbach,MS Dhoni  †,AN Cook ,India,India
49,India,England,India,7 wickets,Ranchi,"Jan 19, 2013",ODI # 3322,https://www.espncricinfo.com/India/engine/match/565814.html,AN Cook (c),IR Bell,KP Pietersen,JE Root,EJG Morgan,C Kieswetter †,SR Patel,TT Bresnan,JC Tredwell,ST Finn,JW Dernbach,G Gambhir,AM Rahane,V Kohli,Yuvraj Singh,MS Dhoni (c) †,SK Raina ,RA Jadeja ,R Ashwin ,B Kumar ,I Sharma ,Mohammed Shami,AN Cook ,MS Dhoni  †,India,England
50,India,England,India,5 wickets,Mohali,"Jan 23, 2013",ODI # 3327,https://www.espncricinfo.com/India/engine/match/565815.html,AN Cook (c),IR Bell,KP Pietersen,EJG Morgan,SR Patel,JE Root,JC Buttler †,TT Bresnan,JC Tredwell,ST Finn ,JW Dernbach,G Gambhir,RG Sharma,V Kohli,Yuvraj Singh,SK Raina,MS Dhoni (c) †,RA Jadeja,R Ashwin ,B Kumar ,I Sharma ,Mohammed Shami,AN Cook ,MS Dhoni  †,India,England
